CourseID,CourseName,DepartmentID,Level,CreditUnit
QS40003,QS - Re-Contextualize Visionary Users,DEPT_003,400,1
QS40004,QS - Visualize Open-Source Relationships,DEPT_003,400,2
QS40005,QS - Generate Compelling Metrics,DEPT_003,400,4
QS50001,QS - Transform B2C E-Business,DEPT_003,500,3
QS50002,QS - Exploit Dynamic Interfaces,DEPT_003,500,2
QS50003,QS - Deploy Synergistic Bandwidth,DEPT_003,500,4
QS50004,QS - Engage Collaborative Initiatives,DEPT_003,500,2
QS50005,QS - Mesh Enterprise Models,DEPT_003,500,4
URP10001,URP - Re-Contextualize Scalable Technologies,DEPT_004,100,1
URP10002,URP - Embrace Sticky Web-Readiness,DEPT_004,100,3
URP10003,URP - Monetize Seamless Infrastructures,DEPT_004,100,4
URP10004,URP - Leverage Bricks-And-Clicks Deliverables,DEPT_004,100,3
URP10005,URP - Synergize Web-Enabled Mindshare,DEPT_004,100,4
URP20001,URP - Drive Open-Source Interfaces,DEPT_004,200,4
URP20002,URP - Iterate Web-Enabled Vortals,DEPT_004,200,4
URP20003,URP - Facilitate Cross-Platform Portals,DEPT_004,200,1
URP20004,URP - Enhance Viral Deliverables,DEPT_004,200,4
URP20005,URP - Synthesize Customized Technologies,DEPT_004,200,2
URP30001,URP - Enhance Granular Roi,DEPT_004,300,2
URP30002,URP - Implement World-Class Users,DEPT_004,300,2
URP30003,URP - Synergize One-To-One Channels,DEPT_004,300,2
URP30004,URP - Implement Enterprise Solutions,DEPT_004,300,4
URP30005,URP - Seize Clicks-And-Mortar Web Services,DEPT_004,300,1
URP40001,URP - Morph End-To-End Portals,DEPT_004,400,3
URP40002,URP - Architect Strategic Relationships,DEPT_004,400,2
URP40003,URP - Evolve Transparent Eyeballs,DEPT_004,400,1
URP40004,URP - Iterate Customized Interfaces,DEPT_004,400,2
URP40005,URP - Optimize Interactive Paradigms,DEPT_004,400,1
URP50001,URP - Exploit Intuitive Applications,DEPT_004,500,4
URP50002,URP - Envisioneer Visionary Applications,DEPT_004,500,2
URP50003,URP - Aggregate Value-Added Initiatives,DEPT_004,500,3
URP50004,URP - Morph Back-End E-Markets,DEPT_004,500,4
URP50005,URP - Empower Customized Systems,DEPT_004,500,1
SVG10001,SVG - Syndicate Rich Functionalities,DEPT_005,100,4
SVG10002,SVG - Deploy Distributed Users,DEPT_005,100,4
SVG10003,SVG - Repurpose Granular Methodologies,DEPT_005,100,3
SVG10004,SVG - Synergize One-To-One Communities,DEPT_005,100,2
SVG10005,SVG - Iterate Seamless Convergence,DEPT_005,100,2
SVG20001,SVG - Utilize Plug-And-Play Synergies,DEPT_005,200,2
SVG20002,SVG - Evolve Innovative Markets,DEPT_005,200,2
SVG20003,SVG - Seize Vertical Partnerships,DEPT_005,200,3
SVG20004,SVG - Seize Front-End Relationships,DEPT_005,200,3
SVG20005,SVG - Optimize One-To-One Experiences,DEPT_005,200,4
SVG30001,SVG - Deliver 24/7 Interfaces,DEPT_005,300,2
SVG30002,SVG - Monetize Back-End Models,DEPT_005,300,4
SVG30003,SVG - Target Cross-Platform E-Commerce,DEPT_005,300,2
SVG30004,SVG - Envisioneer Virtual Applications,DEPT_005,300,1
SVG30005,SVG - Grow Holistic Web Services,DEPT_005,300,2
SVG40001,SVG - Enhance Web-Enabled Info-Mediaries,DEPT_005,400,3
SVG40002,SVG - Deliver World-Class Initiatives,DEPT_005,400,1
SVG40003,SVG - Integrate One-To-One Convergence,DEPT_005,400,4
SVG40004,SVG - Aggregate Robust Web Services,DEPT_005,400,1
SVG40005,SVG - Extend Back-End Channels,DEPT_005,400,3
SVG50001,SVG - Embrace Dot-Com Roi,DEPT_005,500,3
SVG50002,SVG - Visualize Granular E-Services,DEPT_005,500,4
SVG50003,SVG - Target E-Business Metrics,DEPT_005,500,1
SVG50004,SVG - Mesh Virtual Communities,DEPT_005,500,4
SVG50005,SVG - Strategize Cross-Platform Synergies,DEPT_005,500,3
BUI10001,BUI - Orchestrate Value-Added Niches,DEPT_006,100,4
BUI10002,BUI - Incubate Vertical E-Tailers,DEPT_006,100,2
BUI10003,BUI - Deploy Killer Roi,DEPT_006,100,4
BUI10004,BUI - Envisioneer E-Business Convergence,DEPT_006,100,2
BUI10005,BUI - Aggregate Efficient Functionalities,DEPT_006,100,4
BUI20001,BUI - Aggregate Visionary Roi,DEPT_006,200,4
BUI20002,BUI - Optimize Scalable Deliverables,DEPT_006,200,1
BUI20003,BUI - Embrace Cross-Media Vortals,DEPT_006,200,4
BUI20004,BUI - Strategize 24/7 Methodologies,DEPT_006,200,4
BUI20005,BUI - Grow Web-Enabled Action-Items,DEPT_006,200,4
BUI30001,BUI - Strategize Collaborative Relationships,DEPT_006,300,1
BUI30002,BUI - Target Interactive Supply-Chains,DEPT_006,300,3
BUI30003,BUI - Strategize Leading-Edge Networks,DEPT_006,300,2
BUI30004,BUI - Redefine Distributed Mindshare,DEPT_006,300,1
BUI30005,BUI - Transition Rich Portals,DEPT_006,300,2
BUI40001,BUI - Engineer Collaborative Partnerships,DEPT_006,400,2
BUI40002,BUI - Utilize Virtual Communities,DEPT_006,400,4
BUI40003,BUI - Engage Visionary E-Commerce,DEPT_006,400,4
BUI40004,BUI - Disintermediate Innovative Web Services,DEPT_006,400,3
BUI40005,BUI - Streamline B2C Methodologies,DEPT_006,400,4
BUI50001,BUI - Re-Contextualize 24/365 E-Tailers,DEPT_006,500,3
BUI50002,BUI - Evolve Sticky Networks,DEPT_006,500,1
BUI50003,BUI - Innovate User-Centric E-Tailers,DEPT_006,500,4
BUI50004,BUI - E-Enable Customized Eyeballs,DEPT_006,500,2
BUI50005,BUI - Deploy Distributed Roi,DEPT_006,500,3
